millis(), steeringRef, steering sensor, acceleration
130132,	128,	-168,	0
130288,	128,	-164,	0
130319,	128,	-165,	0
130350,	128,	-169,	0
130382,	128,	-169,	0
130413,	128,	-169,	0
130444,	128,	-164,	0
130473,	128,	-169,	0
130506,	128,	-168,	0
130536,	128,	-163,	0
130568,	128,	-168,	0
130598,	128,	-162,	0
130630,	128,	-167,	0
130660,	128,	-162,	0
130692,	128,	-165,	0
130723,	128,	-162,	0
130754,	128,	-168,	0
130784,	128,	-166,	0
130816,	128,	-169,	0
130846,	128,	-167,	0
130878,	128,	-156,	0
130908,	128,	-162,	0
130939,	128,	-169,	0
130970,	128,	-167,	0
131002,	128,	-167,	0
131033,	128,	-164,	0
131063,	128,	-168,	0
131094,	128,	-168,	0
131125,	128,	-166,	0
131158,	128,	-168,	0
131188,	128,	-169,	0
131219,	128,	-169,	0
131250,	128,	-162,	0
131282,	128,	-169,	0
131313,	128,	-168,	0
131344,	128,	-161,	0
131374,	128,	-168,	0
131406,	128,	-168,	0
131436,	128,	-163,	0
131468,	128,	-164,	0
131497,	128,	-162,	0
131530,	128,	-167,	0
131560,	128,	-167,	0
131592,	128,	-168,	0
131623,	128,	-168,	0
131654,	128,	-168,	0
131684,	128,	-167,	0
131715,	128,	-169,	0
131746,	128,	-156,	0
131778,	128,	-169,	0
131809,	128,	-165,	0
131840,	128,	-167,	0
131870,	128,	-168,	0
131902,	128,	-163,	0
131932,	128,	-166,	0
131963,	128,	-169,	0
131994,	128,	-162,	0
132025,	128,	-168,	0
132056,	128,	-169,	0
132087,	128,	-156,	0
132118,	128,	-169,	0
132149,	128,	-165,	0
132182,	128,	-165,	0
132213,	128,	-166,	0
132244,	128,	-169,	0
132274,	128,	-162,	0
132305,	128,	-159,	0
132336,	128,	-162,	0
132368,	128,	-169,	0
132399,	128,	-169,	0
132429,	128,	-159,	0
132460,	128,	-169,	0
132491,	128,	-162,	0
132523,	128,	-169,	0
132553,	128,	-162,	0
132584,	128,	-169,	0
132615,	128,	-169,	0
132647,	128,	-169,	0
132678,	128,	-164,	0
132709,	128,	-169,	0
132740,	128,	-167,	0
132770,	128,	-162,	0
132801,	128,	-169,	0
132833,	128,	-162,	0
132864,	128,	-165,	0
132894,	128,	-168,	0
132925,	128,	-166,	0
132956,	128,	-156,	0
132988,	128,	-166,	0
133018,	128,	-164,	0
133050,	128,	-169,	0
133080,	128,	-167,	0
133112,	128,	-169,	0
133142,	128,	-166,	0
133174,	128,	-158,	0
133204,	128,	-163,	0
133236,	128,	-169,	0
133268,	128,	-163,	0
133299,	128,	-165,	0
133329,	128,	-169,	0
133360,	128,	-162,	0
133392,	128,	-162,	0
133423,	128,	-168,	0
133454,	128,	-167,	0
133484,	128,	-165,	0
133515,	128,	-163,	0
133545,	128,	-169,	0
133578,	128,	-167,	0
133609,	128,	-168,	0
133639,	128,	-169,	0
133670,	128,	-157,	0
133701,	128,	-164,	0
133733,	128,	-162,	0
133764,	128,	-163,	0
133795,	128,	-162,	0
133825,	128,	-168,	0
133856,	128,	-169,	0
133886,	128,	-166,	0
133919,	128,	-165,	0
133949,	128,	-169,	0
133981,	128,	-162,	0
134011,	128,	-165,	0
134043,	128,	-162,	0
134073,	128,	-162,	0
134105,	128,	-168,	0
134135,	128,	-162,	0
134167,	128,	-169,	0
134197,	128,	-165,	0
134230,	128,	-156,	0
134261,	128,	-169,	0
134291,	128,	-169,	0
134322,	128,	-165,	0
134354,	128,	-156,	0
134385,	128,	-169,	0
134415,	128,	-156,	0
134447,	128,	-168,	0
134477,	207,	-169,	0
134509,	207,	-169,	0
134540,	207,	-169,	0
134571,	255,	-168,	0
134601,	255,	-167,	0
134632,	255,	-164,	0
134663,	255,	-169,	0
134695,	255,	-165,	0
134725,	255,	-161,	0
134756,	255,	-169,	0
134787,	255,	-164,	0
134819,	255,	-164,	0
134850,	255,	-156,	0
134881,	255,	-168,	0
134910,	255,	-164,	0
134942,	255,	-169,	0
134973,	255,	-164,	0
135005,	255,	-163,	0
135036,	255,	-169,	0
135066,	255,	-166,	0
135097,	255,	-162,	0
135129,	255,	-166,	0
135160,	255,	-169,	0
135191,	255,	-169,	0
135221,	255,	-164,	0
135252,	255,	-168,	0
135285,	255,	-165,	0
135315,	255,	-167,	0
135346,	255,	-169,	0
135377,	255,	-165,	0
135409,	255,	-168,	0
135440,	255,	-169,	0
135471,	255,	-154,	0
135501,	255,	-169,	0
135532,	255,	-164,	0
135564,	255,	-164,	0
135593,	255,	-169,	0
135626,	255,	-168,	0
135656,	255,	-168,	0
135688,	255,	-169,	0
135719,	255,	-162,	0
135750,	255,	-165,	0
135781,	255,	-164,	0
135812,	255,	-169,	0
135842,	255,	-165,	0
135873,	255,	-166,	0
135904,	255,	-167,	0
135936,	128,	-161,	0
135966,	128,	-169,	0
135997,	128,	-166,	0
136028,	40,	-163,	0
136060,	40,	-169,	0
136091,	40,	-162,	0
136121,	40,	-169,	0
136152,	40,	-164,	0
136183,	40,	-162,	0
136214,	40,	-168,	0
136246,	40,	-166,	0
136276,	40,	-165,	0
136308,	40,	-164,	0
136340,	40,	-169,	0
136370,	40,	-165,	0
136402,	40,	-162,	0
136433,	40,	-169,	0
millis(), steeringRef, steering sensor, acceleration
31,	128,	269,	-1
62,154,	128,	267,	0
185,	128,	267,	0
217,	128,	261,	0
248,	128,	270,	0
278,	128,	271,	0
310,	128,	268,	0
342,	128,	263,	0
373,	128,	261,	0
403,	128,	264,	0
435,	128,	268,	0
466,	128,	263,	0
496,	128,	270,	0
528,	128,	264,	0
559,	128,	270,	0
589,	128,	262,	0
621,	128,	263,	0
652,	128,	272,	0
681,	128,	272,	0
714,	128,	270,	0
745,	128,	270,	0
775,	128,	267,	0
806,	128,	267,	0
838,	128,	268,	0
869,	128,	268,	0
899,	128,	261,	0
931,	128,	264,	0
962,	128,	270,	0
992,	128,	270,	0
1024,	128,	271,	0
1055,	128,	261,	0
1086,	128,	264,	0
1117,	128,	266,	0
1147,	128,	272,	0
1178,	128,	271,	0
1210,	128,	272,	0
1240,	128,	272,	0
1271,	128,	270,	0
1302,	128,	272,	0
1334,	128,	270,	0
1364,	128,	264,	0
1396,	128,	268,	0
1428,	128,	272,	0
1458,	128,	262,	0
1489,	128,	258,	0
1520,	128,	269,	0
1552,	128,	272,	0
1583,	128,	270,	0
1613,	128,	271,	0
1645,	128,	258,	0
1676,	128,	258,	0
1705,	128,	267,	0
1737,	128,	267,	0
1768,	128,	267,	0
1800,	128,	272,	0
1830,	128,	271,	0
1861,	128,	262,	0
1892,	128,	270,	0
1923,	128,	262,	0
1955,	128,	270,	0
1986,	128,	272,	0
2016,	128,	267,	0
2048,	128,	267,	0
2079,	128,	272,	0
2110,	128,	264,	0
2141,	128,	267,	0
2171,	128,	270,	0
2203,	128,	264,	0
2233,	128,	272,	0
2265,	128,	271,	0
2295,	128,	272,	0
2326,	128,	264,	0
2358,	128,	262,	0
2388,	128,	271,	0
2420,	128,	267,	0
2451,	128,	262,	0
2483,	128,	267,	0
2514,	128,	270,	0
2545,	128,	267,	0
2575,	128,	268,	0
2606,	128,	263,	0
2637,	128,	265,	0
2669,	128,	272,	0
2699,	128,	272,	0
2731,	128,	263,	0
2762,	128,	265,	0
2793,	128,	270,	0
2823,	128,	270,	0
2854,	128,	261,	0
2885,	128,	263,	0
2917,	128,	263,	0
2948,	128,	262,	0
2978,	128,	267,	0
3009,	128,	266,	0
3041,	128,	267,	0
3072,	128,	270,	0
3103,	128,	267,	0
3134,	128,	270,	0
3164,	128,	262,	0
3196,	128,	267,	0
3227,	128,	271,	0
3258,	128,	265,	0
3288,	128,	261,	0
3319,	128,	272,	0
3351,	128,	271,	0
3382,	128,	270,	0
3412,	128,	267,	0
3444,	128,	270,	0
3475,	128,	268,	0
3507,	128,	271,	0
3538,	128,	272,	0
3568,	128,	267,	0
3600,	128,	272,	0
3631,	128,	264,	0
3662,	128,	261,	0
3692,	128,	268,	0
3723,	128,	268,	0
3753,	128,	265,	0
3786,	128,	269,	0
3817,	128,	264,	0
3848,	128,	268,	0
3879,	128,	271,	0
3909,	128,	254,	0
3941,	128,	271,	0
3971,	128,	267,	0
4003,	128,	265,	0
4034,	128,	268,	0
4065,	128,	261,	0
4094,	128,	267,	0
4127,	128,	264,	0
4157,	128,	264,	0
4189,	128,	272,	0
4220,	128,	269,	0
4251,	128,	261,	0
4281,	128,	270,	0
4312,	128,	265,	0
4344,	128,	258,	0
4375,	128,	272,	0
4406,	128,	270,	0
4436,	128,	271,	0
4469,	128,	272,	0
4499,	128,	265,	0
4531,	128,	272,	0
4562,	128,	272,	0
4593,	128,	264,	0
4623,	128,	261,	0
4655,	128,	267,	0
4685,	128,	264,	0
4717,	128,	265,	0
4748,	128,	267,	0
4779,	128,	267,	0
4810,	128,	256,	0
4840,	128,	268,	0
4871,	128,	267,	0
4902,	128,	270,	0
4934,	128,	265,	0
4965,	128,	271,	0
4996,	128,	271,	0
5026,	128,	267,	0
5057,	128,	263,	0
5088,	128,	264,	0
5120,	128,	270,	0
5151,	128,	264,	0
5182,	128,	258,	0
5212,	128,	258,	0
5244,	128,	270,	0
5274,	128,	268,	0
5306,	128,	261,	0
5337,	128,	270,	0
5368,	128,	270,	0
5398,	128,	263,	0
5429,	128,	264,	0
5460,	128,	265,	0
5493,	128,	262,	0
5524,	128,	272,	0
5554,	128,	270,	0
5585,	128,	272,	0
5616,	128,	272,	0
5648,	128,	272,	0
5679,	128,	272,	0
5710,	128,	267,	0
5740,	128,	270,	0
5771,	128,	267,	0
5801,	128,	269,	0
5834,	128,	271,	0
5865,	128,	264,	0
5896,	128,	270,	0
5926,	128,	264,	0
5957,	128,	270,	0
5988,	128,	268,	0
6020,	128,	270,	0
6051,	128,	272,	0
6082,	128,	268,	0
6112,	128,	270,	0
6142,	128,	264,	0
6174,	128,	267,	0
6206,	128,	271,	0
6237,	128,	264,	0
6268,	128,	263,	0
6298,	128,	264,	0
6329,	128,	271,	0
6361,	128,	272,	0
6392,	128,	271,	0
6423,	128,	267,	0
6453,	128,	272,	0
6486,	128,	264,	0
6516,	128,	272,	0
6548,	128,	271,	0
6579,	128,	265,	0
6610,	128,	265,	0
6640,	128,	267,	0
6671,	128,	267,	0
6702,	128,	267,	0
6734,	128,	272,	0
6765,	128,	264,	0
6796,	128,	272,	0
6825,	128,	267,	0
6857,	128,	264,	0
6888,	128,	262,	0
6920,	128,	264,	0
6951,	128,	264,	0
6982,	128,	264,	0
7013,	128,	270,	0
7043,	128,	262,	0
7074,	128,	267,	0
7106,	128,	263,	0
7137,	128,	262,	0
7166,	128,	272,	0
7198,	128,	271,	0
7229,	128,	261,	0
7261,	128,	258,	0
7292,	128,	267,	0
7323,	128,	272,	0
7353,	128,	271,	0
7384,	128,	265,	0
7415,	128,	272,	0
7447,	128,	270,	0
7478,	128,	270,	0
7510,	128,	272,	0
7540,	128,	267,	0
7572,	128,	267,	0
7602,	128,	261,	0
7634,	128,	264,	0
7665,	128,	261,	0
7696,	128,	262,	0
7726,	128,	266,	0
7757,	128,	271,	0
7788,	128,	271,	0
7820,	128,	270,	0
7851,	128,	267,	0
7881,	128,	267,	0
7912,	128,	258,	0
7943,	128,	264,	0
7975,	128,	267,	0
8006,	128,	268,	0
8037,	128,	265,	0
8067,	128,	271,	0
8099,	128,	265,	0
8129,	128,	263,	0
8161,	128,	264,	0
8190,	128,	272,	0
8223,	128,	258,	0
8254,	128,	272,	0
8284,	128,	258,	0
8315,	128,	264,	0
8346,	128,	263,	0
8378,	128,	262,	0
8409,	128,	262,	0
8440,	128,	271,	0
8470,	128,	272,	0
8502,	128,	270,	0
8532,	128,	270,	0
8664,	128,	261,	0
8695,	128,	272,	0
8725,	128,	272,	0
8756,	99,	272,	0
8787,	99,	271,	0
8818,	99,	258,	0
8849,	99,	270,	0
8881,	99,	267,	0
8911,	99,	264,	0
8942,	99,	268,	0
8974,	99,	268,	0
9004,	99,	269,	0
9035,	99,	272,	0
9066,	99,	263,	0
9097,	99,	272,	0
9128,	99,	271,	0
9159,	99,	270,	0
9190,	99,	271,	0
9221,	99,	267,	0
9252,	99,	272,	0
9284,	99,	269,	0
9314,	99,	258,	0
9345,	99,	272,	0
9377,	99,	267,	0
9407,	99,	267,	0
9438,	99,	263,	0
9469,	99,	264,	0
9500,	99,	264,	0
9531,	99,	267,	0
9562,	99,	264,	0
9593,	99,	268,	0
9624,	99,	270,	0
9655,	99,	258,	0
9686,	99,	271,	0
9717,	99,	263,	0
9748,	99,	270,	0
9780,	99,	272,	0
9810,	99,	272,	0
9841,	99,	263,	0
9872,	99,	265,	0
9904,	99,	268,	0
9934,	99,	264,	0
9966,	99,	268,	0
9997,	99,	264,	0
10027,	99,	265,	0
10059,	99,	272,	0
10090,	99,	272,	0
10120,	99,	272,	0
10151,	99,	270,	0
10183,	99,	272,	0
10214,	99,	269,	0
10244,	99,	272,	0
10276,	99,	264,	0
10307,	99,	272,	0
10338,	99,	264,	0
10369,	99,	270,	0
10399,	99,	268,	0
10431,	99,	270,	0
10462,	89,	264,	0
10493,	89,	264,	0
10523,	89,	269,	0
10555,	0,	268,	0
10585,	0,	272,	0
10616,	0,	264,	0
10648,	0,	264,	0
10679,	0,	270,	0
10708,	0,	264,	0
10740,	0,	270,	0
10772,	0,	267,	0
10802,	0,	264,	0
10833,	0,	267,	0
10865,	0,	258,	0
10896,	0,	264,	0
10926,	0,	261,	0
10957,	0,	262,	0
10989,	0,	264,	0
11019,	0,	271,	0
11051,	0,	272,	0
11081,	0,	268,	0
11113,	0,	258,	0
11144,	0,	263,	0
11174,	0,	270,	0
11205,	128,	270,	0
11237,	128,	271,	0
11268,	128,	264,	0
11299,	166,	267,	0
11329,	166,	272,	0
11361,	255,	266,	0
11392,	255,	262,	0
11423,	255,	265,	0
11453,	255,	272,	0
11484,	255,	270,	0
11516,	255,	262,	0
11547,	255,	272,	0
11578,	255,	270,	0
11609,	255,	272,	0
11639,	255,	263,	0
11670,	255,	270,	0
11702,	255,	267,	0
11732,	255,	263,	0
11765,	255,	270,	0
11796,	255,	261,	0
11827,	255,	272,	0
11857,	255,	272,	0
11888,	255,	263,	0
11919,	128,	270,	0
11951,	128,	272,	0
11982,	128,	264,	0
12013,	128,	270,	0
12043,	128,	264,	0
12073,	128,	272,	0
12105,	0,	270,	0
12136,	0,	267,	0
12168,	0,	261,	0
12199,	0,	270,	0
12229,	0,	272,	0
12260,	0,	264,	0
12292,	0,	267,	0
12322,	0,	258,	0
12353,	0,	271,	0
12385,	0,	258,	0
12416,	0,	265,	0
12446,	0,	268,	0
12478,	0,	265,	0
12509,	0,	272,	0
12540,	128,	270,	0
12571,	128,	264,	0
12601,	128,	270,	0
12632,	128,	272,	0
12664,	128,	268,	0
12694,	128,	268,	0
12725,	128,	263,	0
12758,	128,	260,	0
12789,	128,	264,	0
12820,	128,	267,	0
12850,	128,	271,	0
12881,	128,	261,	0
12912,	255,	270,	0
12944,	255,	272,	0
12975,	255,	265,	0
13005,	255,	265,	0
13036,	255,	267,	0
13067,	255,	264,	0
13099,	255,	258,	0
13130,	255,	272,	0
13160,	255,	261,	0
13191,	255,	272,	0
13223,	255,	264,	0
13254,	255,	263,	0
13285,	255,	272,	0
13316,	255,	270,	0
13346,	128,	261,	0
13377,	128,	270,	0
13409,	128,	267,	0
13440,	128,	267,	0
13471,	128,	258,	0
13501,	128,	272,	0
13532,	128,	267,	0
13564,	128,	264,	0
13594,	128,	272,	0
13625,	128,	262,	0
13656,	128,	272,	0
13688,	128,	271,	0
13719,	0,	265,	0
