millis(), steeringRef, steering sensor, acceleration
1634332,    128,    127,    0
1634363,    128,    129,    0
1634394,    128,    129,    0
1634424,    128,    123,    0
1634456,    128,    121,    0
1634486,    128,    124,    0
1634518,    128,    121,    0
1634548,    128,    124,    0
1634579,    128,    126,    0
1634611,    128,    127,    0
1634641,    128,    124,    0
1634673,    128,    124,    0
1634703,    128,    124,    0
1634735,    128,    121,    0
1634765,    128,    130,    0
1634796,    128,    129,    0
1634827,    128,    124,    0
1634859,    128,    121,    0
1634890,    128,    127,    0
1634920,    128,    130,    0
1634951,    128,    124,    0
1634982,    128,    130,    0
1635013,    128,    130,    0
1635044,    128,    128,    0
1635076,    128,    124,    0
1635107,    128,    127,    0
1635137,    128,    130,    0
1635169,    128,    124,    0
1635198,    128,    126,    0
1635231,    128,    124,    0
1635261,    128,    129,    0
1635293,    128,    124,    0
1635324,    128,    124,    0
1635355,    128,    124,    0
1635386,    128,    121,    0
1635416,    128,    121,    0
1635448,    128,    124,    0
1635478,    128,    124,    0
1635509,    128,    124,    0
1635542,    128,    130,    0
1635572,    128,    124,    0
1635604,    128,    128,    0
1635634,    128,    129,    0
1635666,    128,    124,    0
1635696,    128,    121,    0
1635727,    128,    130,    0
1635758,    128,    122,    0
1635789,    128,    124,    0
1635821,    128,    124,    0
1635852,    128,    124,    0
1635883,    128,    124,    0
1635914,    128,    124,    0
1635945,    128,    124,    0
1635975,    128,    122,    0
1636006,    128,    127,    0
1636038,    128,    126,    0
1636069,    128,    127,    0
1636100,    128,    129,    0
1636131,    128,    129,    0
1636161,    128,    125,    0
1636192,    128,    130,    0
1636222,    128,    122,    0
1636255,    128,    130,    0
1636285,    128,    122,    0
1636317,    128,    124,    0
1636347,    128,    122,    0
1636379,    128,    124,    0
1636409,    128,    130,    0
1636440,    128,    124,    0
1636471,    128,    124,    0
1636502,    128,    122,    0
1636534,    128,    129,    0
1636566,    128,    121,    0
1636597,    128,    125,    0
1636628,    128,    124,    0
1636659,    128,    127,    0
1636690,    128,    121,    0
1636720,    128,    127,    0
1636751,    128,    124,    0
1636782,    128,    122,    0
1636813,    128,    122,    0
1636845,    128,    129,    0
1636876,    128,    124,    0
1636905,    128,    127,    0
1636937,    128,    124,    0
1636968,    128,    121,    0
1636999,    128,    121,    0
1637030,    128,    124,    0
1637062,    128,    124,    0
1637093,    128,    127,    0
1637123,    128,    124,    0
1637155,    128,    130,    0
1637185,    128,    124,    0
1637216,    128,    124,    0
1637248,    128,    124,    0
1637278,    128,    127,    0
1637310,    128,    130,    0
1637340,    128,    124,    0
1637372,    128,    129,    0
1637402,    128,    126,    0
1637433,    128,    124,    0
1637464,    128,    124,    0
1637495,    128,    126,    0
1637527,    128,    124,    0
1637558,    128,    125,    0
1637590,    128,    130,    0
1637621,    128,    121,    0
1637651,    128,    124,    0
1637682,    128,    124,    0
1637713,    128,    124,    0
1637745,    128,    128,    0
1637776,    128,    121,    0
1637807,    128,    124,    0
1637837,    128,    128,    0
1637868,    128,    124,    0
1637899,    128,    128,    0
1637929,    128,    124,    0
1637961,    128,    124,    0
1637992,    128,    129,    0
1638024,    128,    127,    0
1638055,    128,    124,    0
1638086,    128,    121,    0
1638116,    128,    122,    0
1638147,    128,    122,    0
1638178,    128,    122,    0
1638209,    128,    121,    0
1638241,    128,    124,    0
1638272,    128,    124,    0
1638303,    128,    121,    0
1638334,    128,    124,    0
1638365,    128,    124,    0
1638396,    128,    121,    0
1638426,    128,    130,    0
1638458,    128,    121,    0
1638489,    128,    124,    0
1638520,    128,    124,    0
1638550,    128,    127,    0
1638581,    128,    129,    0
1638612,    128,    121,    0
1638644,    128,    124,    0
1638675,    128,    124,    0
1638706,    128,    126,    0
1638738,    128,    124,    0
1638768,    128,    124,    0
1638800,    128,    127,    0
1638830,    128,    124,    0
1638861,    128,    127,    0
1638892,    128,    124,    0
1638924,    128,    130,    0
1638955,    128,    129,    0
1638986,    128,    130,    0
1639017,    128,    124,    0
1639047,    128,    124,    0
1639079,    128,    124,    0
1639109,    128,    130,    0
1639141,    128,    124,    0
1639171,    128,    122,    0
1639203,    128,    124,    0
1639233,    128,    126,    0
1639264,    128,    128,    0
1639294,    128,    121,    0
1639326,    128,    124,    0
1639358,    128,    124,    0
1639389,    128,    124,    0
1639420,    128,    124,    0
1639450,    128,    124,    0
1639482,    128,    130,    0
1639512,    128,    130,    0
1639544,    128,    130,    0
1639574,    128,    127,    0
1639606,    128,    121,    0
1639636,    128,    129,    0
1639668,    128,    127,    0
1639699,    128,    130,    0
1639730,    128,    124,    0
1639761,    128,    124,    0
Benchmark has begun (255 to 128)
1642240,    128,    243,    0
1642272,    128,    254,    0
1642305,    128,    253,    0
1642337,    128,    237,    0
1642370,    128,    254,    0
1642402,    128,    254,    0
1642435,    128,    237,    0
1642468,    128,    237,    0
1642501,    128,    254,    0
1642533,    128,    237,    0
1642566,    128,    237,    0
1642599,    128,    252,    0
1642629,    128,    242,    0
1642661,    128,    233,    0
1642694,    128,    233,    0
1642727,    128,    228,    0
1642760,    128,    216,    0
1642792,    128,    217,    0
1642822,    128,    219,    0
1642855,    128,    203,    0
1642888,    128,    194,    0
1642920,    128,    199,    0
1642953,    128,    182,    0
1642986,    128,    181,    0
1643016,    128,    181,    0
1643048,    128,    180,    0
1643081,    128,    178,    0
1643114,    128,    176,    0
1643147,    128,    173,    0
1643180,    128,    175,    0
1643212,    128,    176,    0
1643242,    128,    178,    0
1643275,    128,    173,    0
1643308,    128,    173,    0
1643340,    128,    178,    0
1643373,    128,    178,    0
1643406,    128,    173,    0
1643436,    128,    175,    0
1643468,    128,    184,    0
1643501,    128,    184,    0
1643534,    128,    176,    0
1643567,    128,    185,    0
1643599,    128,    184,    0
1643629,    128,    183,    0
1643662,    128,    175,    0
1643695,    128,    176,    0
1643727,    128,    183,    0
1643760,    128,    167,    0
1643793,    128,    176,    0
1643823,    128,    176,    0
1643855,    128,    175,    0
1643888,    128,    176,    0
1643921,    128,    176,    0
1643954,    128,    175,    0
1643986,    128,    176,    0
1644016,    128,    173,    0
1644049,    128,    178,    0
1644082,    128,    173,    0
1644114,    128,    173,    0
1644147,    128,    178,    0
1644180,    128,    173,    0
1644213,    128,    173,    0
1644246,    128,    168,    0
1644278,    128,    160,    0
1644308,    128,    158,    0
1644341,    128,    153,    0
1644374,    128,    158,    0
1644406,    128,    157,    0
1644436,    128,    158,    0
1644469,    128,    149,    0
1644502,    128,    156,    0
1644534,    128,    150,    0
1644567,    128,    149,    0
1644600,    128,    152,    0
1644630,    128,    156,    0
1644662,    128,    150,    0
1644695,    128,    146,    0
1644728,    128,    152,    0
1644761,    128,    150,    0
1644793,    128,    152,    0
1644823,    128,    151,    0
1644856,    128,    147,    0
1644889,    128,    150,    0
1644921,    128,    150,    0
1644954,    128,    157,    0
1644987,    128,    150,    0
1645017,    128,    150,    0
1645049,    128,    148,    0
1645082,    128,    157,    0
1645115,    128,    150,    0
1645148,    128,    151,    0
1645180,    128,    157,    0
1645213,    128,    151,    0
1645243,    128,    150,    0
1645276,    128,    140,    0
1645308,    128,    149,    0
1645341,    128,    143,    0
1645374,    128,    138,    0
1645407,    128,    143,    0
1645440,    128,    140,    0
1645472,    128,    147,    0
1645502,    128,    142,    0
1645535,    128,    140,    0
1645568,    128,    140,    0
1645600,    128,    147,    0
1645630,    128,    147,    0
1645663,    128,    143,    0
1645696,    128,    139,    0
1645728,    128,    143,    0
1645761,    128,    140,    0
1645794,    128,    145,    0
1645824,    128,    142,    0
1645856,    128,    147,    0
1645889,    128,    140,    0
1645922,    128,    147,    0
1645955,    128,    144,    0
1645987,    128,    139,    0
1646017,    128,    139,    0
1646050,    128,    144,    0
1646083,    128,    143,    0
1646115,    128,    142,    0
1646148,    128,    147,    0
1646181,    128,    140,    0
1646214,    128,    147,    0
1646246,    128,    144,    0
1646276,    128,    147,    0
1646309,    128,    139,    0
1646342,    128,    144,    0
1646374,    128,    143,    0
1646407,    128,    142,    0
1646437,    128,    138,    0
1646470,    128,    138,    0
1646502,    128,    133,    0
1646535,    128,    143,    0
1646568,    128,    143,    0
End to end took: 17302
1647602,    128,    103,    0
1647653,    128,    109,    0
1647683,    128,    103,    0
1647715,    128,    101,    0
1647745,    128,    105,    0
Benchmark has begun (128 to 0)
1655641,    0,  182,    0
1655673,    0,  194,    0
1655704,    0,  197,    0
1655735,    0,  188,    0
1655766,    0,  190,    0
1655799,    0,  187,    0
1655830,    0,  187,    0
1655861,    0,  199,    0
1655894,    0,  196,    0
1655927,    0,  185,    0
1655958,    0,  157,    0
1655989,    0,  143,    0
1656022,    0,  122,    0
1656055,    0,  106,    0
1656088,    0,  82, 0
1656120,    0,  78, 0
1656153,    0,  67, 0
1656184,    0,  65, 0
1656217,    0,  54, 0
1656249,    0,  58, 0
1656281,    0,  57, 0
1656313,    0,  62, 0
1656345,    0,  55, 0
1656378,    0,  59, 0
1656410,    0,  54, 0
1656442,    0,  57, 0
1656474,    0,  62, 0
1656507,    0,  54, 0
1656539,    0,  54, 0
1656571,    0,  57, 0
1656603,    0,  62, 0
1656636,    0,  55, 0
1656668,    0,  59, 0
1656699,    0,  55, 0
1656732,    0,  57, 0
1656764,    0,  62, 0
1656797,    0,  59, 0
1656828,    0,  55, 0
1656861,    0,  57, 0
1656893,    0,  62, 0
1656926,    0,  57, 0
1656957,    0,  58, 0
1656990,    0,  54, 0
1657022,    0,  57, 0
1657054,    0,  57, 0
1657086,    0,  60, 0
1657118,    0,  54, 0
1657151,    0,  57, 0
1657183,    0,  60, 0
1657216,    0,  58, 0
1657247,    0,  56, 0
1657280,    0,  53, 0
1657312,    0,  48, 0
1657345,    0,  47, 0
1657376,    0,  47, 0
1657409,    0,  36, 0
1657441,    0,  36, 0
1657473,    0,  31, 0
1657505,    0,  31, 0
1657537,    0,  35, 0
1657570,    0,  31, 0
1657602,    0,  25, 0
1657634,    0,  30, 0
1657666,    0,  33, 0
1657699,    0,  31, 0
1657731,    0,  29, 0
1657763,    0,  32, 0
1657795,    0,  30, 0
1657828,    0,  25, 0
1657860,    0,  30, 0
1657891,    0,  34, 0
1657924,    0,  28, 0
1657956,    0,  31, 0
1657989,    0,  25, 0
1658020,    0,  30, 0
1658053,    0,  34, 0
1658085,    0,  31, 0
1658118,    0,  31, 0
1658149,    0,  30, 0
1658182,    0,  34, 0
1658214,    0,  26, 0
1658247,    0,  31, 0
1658278,    0,  25, 0
1658310,    0,  26, 0
1658343,    0,  22, 0
1658375,    0,  24, 0
1658407,    0,  24, 0
1658439,    0,  24, 0
1658472,    0,  23, 0
1658504,    0,  16, 0
1658536,    0,  19, 0
1658568,    0,  21, 0
1658601,    0,  20, 0
1658633,    0,  15, 0
1658664,    0,  18, 0
1658697,    0,  21, 0
1658729,    0,  12, 0
1658762,    0,  17, 0
1658793,    0,  20, 0
1658826,    0,  16, 0
1658858,    0,  12, 0
1658891,    0,  17, 0
1658923,    0,  20, 0
1658955,    0,  12, 0
1658987,    0,  17, 0
1659020,    0,  20, 0
1659052,    0,  15, 0
1659083,    0,  17, 0
1659116,    0,  17, 0
1659148,    0,  20, 0
1659181,    0,  12, 0
1659212,    0,  17, 0
1659245,    0,  20, 0
1659277,    0,  16, 0
1659310,    0,  17, 0
1659341,    0,  12, 0
1659374,    0,  20, 0
1659406,    0,  12, 0
1659438,    0,  12, 0
1659470,    0,  17, 0
1659502,    0,  20, 0
1659535,    0,  12, 0
1659567,    0,  17, 0
1659599,    0,  20, 0
1659631,    0,  12, 0
1659664,    0,  17, 0
1659696,    0,  18, 0
1659728,    0,  18, 0
1659760,    0,  12, 0
1659793,    0,  17, 0
1659825,    0,  20, 0
1659856,    0,  12, 0
1659889,    0,  17, 0
1659921,    0,  20, 0
1659954,    0,  12, 0
1659985,    0,  18, 0
1660018,    0,  16, 0
1660050,    0,  17, 0
1660083,    0,  15, 0
1660114,    0,  17, 0
1660147,    0,  18, 0
1660179,    0,  12, 0
1660211,    0,  17, 0
1660243,    0,  12, 0
1660275,    0,  17, 0
1660308,    0,  20, 0
1660340,    0,  12, 0
1660372,    0,  17, 0
1660404,    0,  20, 0
1660437,    0,  12, 0
1660469,    0,  17, 0
1660502,    0,  16, 0
1660533,    0,  17, 0
1660566,    0,  12, 0
1660598,    0,  17, 0
1660630,    0,  18, 0
1660662,    0,  12, 0
1660694,    0,  17, 0
1660727,    0,  20, 0
1660759,    0,  17, 0
1660791,    0,  16, 0
1660823,    0,  12, 0
1660856,    0,  12, 0
1660888,    0,  20, 0
1660920,    0,  12, 0
1660952,    0,  17, 0
1660985,    0,  18, 0
1661017,    0,  17, 0
1661048,    0,  12, 0
1661081,    0,  18, 0
1661113,    0,  18, 0
1661146,    0,  10, 0
1661177,    0,  13, 0
1661209,    0,  11, 0
1661242,    0,  6,  0
1661274,    0,  8,  0
1661305,    0,  13, 0
1661337,    0,  14, 0
1661369,    0,  6,  0
1661401,    0,  11, 0
1661432,    0,  6,  0
1661464,    0,  14, 0
1661496,    0,  8,  0
1661528,    0,  6,  0
1661559,    0,  6,  0
1661591,    0,  6,  0
1661623,    0,  10, 0
1661655,    0,  6,  0
1661686,    0,  6,  0
1661718,    0,  11, 0
1661750,    0,  13, 0
1661782,    0,  6,  0
1661813,    0,  6,  0
1661845,    0,  13, 0
1661877,    0,  6,  0
1661908,    0,  6,  0
1661943,    0,  14, 0
1661975,    0,  6,  0
1662007,    0,  14, 0
1662039,    0,  6,  0
1662070,    0,  8,  0
1662102,    0,  14, 0
1662134,    0,  10, 0
1662166,    0,  6,  0
1662197,    0,  6,  0
1662229,    0,  10, 0
1662261,    0,  10, 0
1662292,    0,  16, 0
1662324,    0,  14, 0
1662356,    0,  9,  0
1662389,    0,  13, 0
1662420,    0,  6,  0
1662452,    0,  10, 0
1662484,    0,  10, 0
1662516,    0,  13, 0
1662547,    0,  14, 0
1662580,    0,  14, 0
1662612,    0,  10, 0
1662644,    0,  13, 0
1662675,    0,  9,  0
1662707,    0,  8,  0
1662739,    0,  8,  0
1662771,    0,  8,  0
1662802,    0,  8,  0
1662834,    0,  8,  0
1662867,    0,  11, 0
1662899,    0,  6,  0
1662930,    0,  10, 0
1662962,    0,  10, 0
1662994,    0,  13, 0
1663026,    0,  14, 0
1663057,    0,  8,  0
1663089,    0,  6,  0
1663121,    0,  8,  0
1663153,    0,  10, 0
1663185,    0,  10, 0
1663217,    0,  12, 0
1663249,    0,  13, 0
1663281,    0,  13, 0
1663312,    0,  14, 0
1663344,    0,  10, 0
1663376,    0,  9,  0
1663408,    0,  10, 0
1663439,    0,  10, 0
1663471,    0,  14, 0
1663504,    0,  8,  0
1663536,    0,  14, 0
1663567,    0,  5,  0
1663599,    0,  10, 0
1663631,    0,  10, 0
1663663,    0,  12, 0
1663694,    0,  11, 0
1663726,    0,  6,  0
1663758,    0,  13, 0
1663790,    0,  6,  0
1663821,    0,  6,  0
1663853,    0,  5,  0
1663885,    0,  10, 0
1663918,    0,  11, 0
1663949,    0,  13, 0
1663981,    0,  12, 0
1664013,    0,  12, 0
1664045,    0,  13, 0
1664076,    0,  6,  0
1664108,    0,  10, 0
1664140,    0,  6,  0
1664172,    0,  14, 0
1664203,    0,  10, 0
1664235,    0,  10, 0
1664267,    0,  14, 0
1664299,    0,  13, 0
1664330,    0,  6,  0
1664363,    0,  8,  0
1664394,    0,  10, 0
1664427,    0,  10, 0
1664458,    0,  13, 0
1664490,    0,  6,  0
1664522,    0,  12, 0
1664553,    0,  13, 0
1664585,    0,  8,  0
1664617,    0,  8,  0
1664649,    0,  3,  0
1664680,    0,  5,  0
1664713,    0,  12, 0
1664744,    0,  11, 0
1664777,    0,  13, 0
1664808,    0,  13, 0
1664840,    0,  6,  0
1664872,    0,  10, 0
1664904,    0,  10, 0
1664935,    0,  8,  0
1664967,    0,  14, 0
1664999,    0,  8,  0
1665031,    0,  10, 0
1665062,    0,  10, 0
1665094,    0,  11, 0
1665126,    0,  11, 0
1665158,    0,  13, 0
1665189,    0,  6,  0
1665221,    0,  5,  0
1665253,    0,  10, 0
1665285,    0,  13, 0
1665316,    0,  6,  0
1665348,    0,  8,  0
1665380,    0,  12, 0
1665412,    0,  8,  0
1665443,    0,  6,  0
1665475,    0,  8,  0
1665507,    0,  10, 0
1665539,    0,  13, 0
1665571,    0,  12, 0
1665603,    0,  5,  0
1665635,    0,  12, 0
1665667,    0,  6,  0
1665698,    0,  6,  0
1665730,    0,  11, 0
1665762,    0,  11, 0
1665794,    0,  11, 0
1665825,    0,  6,  0
1665857,    0,  13, 0
1665889,    0,  10, 0
1665922,    0,  13, 0
1665953,    0,  13, 0
1665985,    0,  10, 0
1666017,    0,  10, 0
1666049,    0,  11, 0
1666080,    0,  11, 0
1666112,    0,  10, 0
1666144,    0,  6,  0
1666176,    0,  6,  0
1666207,    0,  14, 0
1666240,    0,  6,  0
1666272,    0,  13, 0
1666304,    0,  11, 0
1666335,    0,  13, 0
1666367,    0,  10, 0
1666399,    0,  11, 0
1666430,    0,  14, 0
1666463,    0,  10, 0
1666495,    0,  11, 0
1666527,    0,  6,  0
1666558,    0,  6,  0
1666590,    0,  14, 0
1666622,    0,  10, 0
1666654,    0,  11, 0
1666685,    0,  6,  0
1666717,    0,  12, 0
1666749,    0,  11, 0
1666781,    0,  6,  0
1666813,    0,  10, 0
1666845,    0,  14, 0
1666877,    0,  6,  0
1666909,    0,  11, 0
1666940,    0,  14, 0
1666972,    0,  10, 0
1667005,    0,  8,  0
1667037,    0,  6,  0
1667068,    0,  13, 0
1667100,    0,  13, 0
1667132,    0,  5,  0
1667164,    0,  13, 0
1667195,    0,  14, 0
1667227,    0,  10, 0
1667259,    0,  13, 0
1667292,    0,  5,  0
1667322,    0,  10, 0
End to end took: 13107
1668358,    0,  13, 0
1668408,    0,  5,  0
1668439,    128,    13, 0
1668470,    128,    14, 0
1668500,    128,    13, 0
1668531,    128,    13, 0
1668563,    128,    12, 0
1668593,    128,    14, 0
1668624,    128,    14, 0
1668656,    128,    17, 0
