millis(), steeringRef, steering sensor, acceleration
206004, 128,    124,    0
206034, 128,    134,    0
206066, 128,    128,    0
206097, 128,    130,    0
206127, 128,    126,    0
206159, 128,    126,    0
206189, 128,    125,    0
206220, 128,    124,    0
206252, 128,    126,    0
206283, 128,    129,    0
206314, 128,    126,    0
206344, 128,    124,    0
206375, 128,    126,    0
206406, 128,    135,    0
206438, 128,    135,    0
206469, 128,    126,    0
206500, 128,    134,    0
206530, 128,    135,    0
206562, 128,    134,    0
206593, 128,    124,    0
206624, 128,    126,    0
206654, 128,    131,    0
206685, 128,    129,    0
206716, 128,    128,    0
206748, 128,    134,    0
206779, 128,    126,    0
206810, 128,    125,    0
206840, 128,    126,    0
206871, 128,    127,    0
206902, 128,    126,    0
206932, 128,    130,    0
206965, 128,    128,    0
206996, 128,    129,    0
207026, 128,    128,    0
207057, 128,    134,    0
207088, 128,    129,    0
207119, 128,    128,    0
207151, 128,    131,    0
207182, 128,    125,    0
207212, 128,    127,    0
207244, 128,    131,    0
207275, 128,    124,    0
207306, 128,    124,    0
207336, 128,    125,    0
207368, 128,    130,    0
207398, 128,    125,    0
207429, 128,    126,    0
207461, 128,    135,    0
207492, 128,    131,    0
207524, 128,    135,    0
207555, 128,    130,    0
207586, 128,    125,    0
207617, 128,    126,    0
207648, 128,    135,    0
207679, 128,    127,    0
207709, 128,    124,    0
207740, 128,    127,    0
207772, 128,    125,    0
207802, 128,    129,    0
207834, 128,    130,    0
207865, 128,    126,    0
207896, 128,    126,    0
207927, 128,    136,    0
207958, 128,    129,    0
207989, 128,    127,    0
208019, 128,    125,    0
208051, 128,    130,    0
208082, 128,    129,    0
208112, 128,    126,    0
208144, 128,    124,    0
208174, 128,    129,    0
208205, 128,    126,    0
208237, 128,    124,    0
208268, 128,    135,    0
208299, 128,    134,    0
208329, 128,    129,    0
208361, 128,    129,    0
208392, 128,    135,    0
208422, 128,    127,    0
208453, 128,    124,    0
208484, 128,    124,    0
208515, 128,    129,    0
208547, 128,    126,    0
208578, 128,    131,    0
208609, 128,    125,    0
208640, 128,    129,    0
208671, 128,    129,    0
208702, 128,    135,    0
208732, 128,    129,    0
208763, 128,    127,    0
208794, 128,    125,    0
208825, 128,    126,    0
208856, 128,    127,    0
208887, 128,    128,    0
208919, 128,    135,    0
208950, 128,    126,    0
208980, 128,    135,    0
209013, 128,    125,    0
209043, 128,    125,    0
209075, 128,    124,    0
209105, 128,    126,    0
209136, 128,    124,    0
209168, 128,    126,    0
209198, 128,    135,    0
209230, 128,    131,    0
209260, 128,    126,    0
209291, 128,    125,    0
209323, 128,    125,    0
209354, 128,    124,    0
209385, 128,    129,    0
209416, 128,    135,    0
209447, 128,    126,    0
209478, 128,    131,    0
209509, 128,    131,    0
209539, 128,    129,    0
209571, 128,    135,    0
209601, 128,    126,    0
209632, 128,    124,    0
209662, 128,    126,    0
209694, 128,    129,    0
209726, 128,    129,    0
209757, 128,    126,    0
209788, 128,    126,    0
209819, 128,    124,    0
209850, 128,    124,    0
209881, 128,    124,    0
Benchmark has begun (255 to 128)
210930, 255,    126,    0
210963, 255,    126,    0
210996, 255,    126,    0
211028, 255,    126,    0
211060, 255,    129,    0
211093, 255,    130,    0
211126, 255,    141,    0
211159, 255,    142,    0
211191, 255,    169,    0
211224, 255,    175,    0
211257, 255,    197,    0
211290, 255,    200,    0
211321, 255,    214,    0
211354, 255,    215,    0
211387, 255,    222,    0
211420, 255,    235,    0
211951, 128,    235,    0
211984, 128,    240,    0
212017, 128,    246,    0
212049, 128,    251,    0
212081, 128,    254,    0
212114, 128,    252,    0
212147, 128,    252,    0
212179, 128,    245,    0
212209, 128,    236,    0
212242, 128,    236,    0
212272, 128,    236,    0
212304, 128,    240,    0
212334, 128,    245,    0
212367, 128,    228,    0
212397, 128,    226,    0
212429, 128,    231,    0
212459, 128,    219,    0
212492, 128,    219,    0
212521, 128,    214,    0
212554, 128,    202,    0
212584, 128,    195,    0
212617, 128,    188,    0
212649, 128,    188,    0
212682, 128,    184,    0
212715, 128,    178,    0
212748, 128,    173,    0
212781, 128,    171,    0
212812, 128,    171,    0
212845, 128,    171,    0
212878, 128,    171,    0
212908, 128,    171,    0
212940, 128,    172,    0
212970, 128,    166,    0
213003, 128,    166,    0
213036, 128,    166,    0
213068, 128,    166,    0
213101, 128,    166,    0
213134, 128,    175,    0
213167, 128,    166,    0
213198, 128,    166,    0
213231, 128,    166,    0
213264, 128,    168,    0
213294, 128,    168,    0
213326, 128,    168,    0
213359, 128,    168,    0
213389, 128,    172,    0
213422, 128,    172,    0
213454, 128,    172,    0
213487, 128,    172,    0
213520, 128,    175,    0
213553, 128,    172,    0
213584, 128,    172,    0
213617, 128,    172,    0
213650, 128,    172,    0
213683, 128,    172,    0
213715, 128,    172,    0
213748, 128,    172,    0
213781, 128,    172,    0
213814, 128,    172,    0
213846, 128,    172,    0
213878, 128,    171,    0
213911, 128,    171,    0
213944, 128,    171,    0
213974, 128,    173,    0
214006, 128,    175,    0
214036, 128,    175,    0
214069, 128,    175,    0
214102, 128,    175,    0
214134, 128,    175,    0
214167, 128,    172,    0
214200, 128,    172,    0
214232, 128,    172,    0
214264, 128,    171,    0
214297, 128,    171,    0
214330, 128,    167,    0
214360, 128,    175,    0
214392, 128,    175,    0
214422, 128,    166,    0
214455, 128,    173,    0
214484, 128,    173,    0
214517, 128,    173,    0
214547, 128,    168,    0
214580, 128,    166,    0
214612, 128,    166,    0
214645, 128,    173,    0
214678, 128,    169,    0
214711, 128,    171,    0
214744, 128,    161,    0
214775, 128,    157,    0
214808, 128,    150,    0
214841, 128,    149,    0
214871, 128,    143,    0
214903, 128,    143,    0
214933, 128,    138,    0
214966, 128,    135,    0
214999, 128,    142,    0
End to end took: 17302
216034, 128,    133,    0
216085, 128,    137,    0
216116, 128,    133,    0
216147, 128,    130,    0
216177, 128,    132,    0
216208, 128,    132,    0
216240, 128,    133,    0
216271, 128,    131,    0
216302, 128,    131,    0
216333, 128,    131,    0
216363, 128,    130,    0
216394, 128,    141,    0
216425, 128,    134,    0
216457, 128,    133,    0
216487, 128,    137,    0
216518, 128,    133,    0
216550, 128,    136,    0
216581, 128,    137,    0
216612, 128,    131,    0
216642, 128,    130,    0
216673, 128,    131,    0
216704, 128,    133,    0
216735, 128,    130,    0
216767, 128,    132,    0
216797, 128,    141,    0
216829, 128,    141,    0
216859, 128,    131,    0
216891, 128,    131,    0
216922, 128,    141,    0
216954, 128,    132,    0
216985, 128,    132,    0
217015, 128,    131,    0
217047, 128,    136,    0
217077, 128,    136,    0
217109, 128,    132,    0
217140, 128,    133,    0
217170, 128,    130,    0
217201, 128,    132,    0
217232, 128,    133,    0
217264, 128,    133,    0
217295, 128,    134,    0
217325, 128,    131,    0
217356, 128,    131,    0
217387, 128,    133,    0
217419, 128,    131,    0
217449, 128,    141,    0
217480, 128,    134,    0
217511, 128,    131,    0
217542, 128,    131,    0
217574, 128,    132,    0
217605, 128,    141,    0
217636, 128,    133,    0
217666, 128,    134,    0
217697, 128,    131,    0
217729, 128,    135,    0
217760, 128,    133,    0
217791, 128,    132,    0
217821, 128,    133,    0
217852, 128,    131,    0
217883, 128,    133,    0
217915, 128,    131,    0
217946, 128,    132,    0
217976, 128,    131,    0
218007, 128,    132,    0
218038, 128,    131,    0
218070, 128,    131,    0
218101, 128,    138,    0
218132, 128,    131,    0
218162, 128,    131,    0
218193, 128,    131,    0
218225, 128,    141,    0
218256, 128,    134,    0
218286, 128,    133,    0
218317, 128,    135,    0
218348, 128,    136,    0
218380, 128,    141,    0
218409, 128,    133,    0
218442, 128,    131,    0
218472, 128,    136,    0
218503, 128,    131,    0
218535, 128,    133,    0
218566, 128,    134,    0
218597, 128,    131,    0
218627, 128,    131,    0
218658, 128,    141,    0
218690, 128,    133,    0
218721, 128,    137,    0
218752, 128,    131,    0
218782, 128,    134,    0
218814, 128,    133,    0
218845, 128,    141,    0
218877, 128,    133,    0
218908, 128,    131,    0
218939, 128,    133,    0
218969, 128,    141,    0
219000, 128,    135,    0
219032, 128,    133,    0
219063, 128,    132,    0
219092, 128,    133,    0
219124, 128,    135,    0
219155, 128,    133,    0
219187, 128,    134,    0
219217, 128,    133,    0
219249, 128,    131,    0
219279, 128,    131,    0
219310, 128,    135,    0
219341, 128,    137,    0
Benchmark has begun (128 to 0)
220852, 0,  136,    0
220884, 0,  131,    0
220915, 0,  132,    0
220946, 0,  121,    0
220976, 0,  111,    0
221009, 0,  102,    0
221041, 0,  86, 0
221074, 0,  73, 0
221106, 0,  63, 0
221137, 0,  54, 0
221170, 0,  46, 0
221202, 0,  36, 0
221235, 0,  36, 0
221266, 0,  33, 0
221298, 0,  31, 0
221331, 0,  26, 0
221363, 0,  25, 0
221394, 0,  22, 0
221427, 0,  19, 0
221459, 0,  19, 0
221492, 0,  25, 0
221523, 0,  24, 0
221555, 0,  24, 0
221588, 0,  19, 0
221620, 0,  19, 0
221652, 0,  19, 0
221684, 0,  22, 0
221716, 0,  25, 0
221749, 0,  23, 0
221780, 0,  23, 0
221812, 0,  23, 0
221845, 0,  22, 0
221877, 0,  27, 0
221910, 0,  25, 0
221941, 0,  24, 0
221973, 0,  24, 0
222006, 0,  19, 0
222038, 0,  20, 0
222069, 0,  25, 0
222102, 0,  27, 0
222134, 0,  24, 0
222167, 0,  23, 0
222198, 0,  19, 0
222230, 0,  27, 0
222263, 0,  19, 0
222295, 0,  24, 0
222326, 0,  23, 0
222359, 0,  22, 0
222391, 0,  27, 0
222424, 0,  27, 0
222455, 0,  24, 0
222487, 0,  18, 0
222520, 0,  23, 0
222552, 0,  15, 0
222583, 0,  23, 0
222616, 0,  22, 0
222648, 0,  22, 0
222681, 0,  18, 0
222712, 0,  18, 0
222744, 0,  19, 0
222777, 0,  18, 0
222809, 0,  22, 0
222840, 0,  22, 0
222873, 0,  18, 0
222905, 0,  23, 0
222938, 0,  23, 0
222969, 0,  21, 0
223001, 0,  19, 0
223034, 0,  25, 0
223066, 0,  24, 0
223097, 0,  23, 0
223130, 0,  18, 0
223162, 0,  22, 0
223195, 0,  25, 0
223226, 0,  24, 0
223258, 0,  18, 0
223291, 0,  18, 0
223323, 0,  22, 0
223354, 0,  25, 0
223387, 0,  22, 0
223419, 0,  18, 0
223452, 0,  19, 0
223483, 0,  25, 0
223515, 0,  22, 0
223548, 0,  18, 0
223580, 0,  19, 0
223611, 0,  24, 0
223644, 0,  22, 0
223676, 0,  15, 0
223709, 0,  15, 0
223740, 0,  20, 0
223772, 0,  20, 0
223805, 0,  11, 0
223837, 0,  12, 0
223869, 0,  17, 0
223901, 0,  18, 0
223933, 0,  11, 0
223966, 0,  12, 0
223997, 0,  18, 0
224029, 0,  16, 0
224062, 0,  11, 0
224094, 0,  12, 0
224126, 0,  19, 0
224158, 0,  16, 0
224190, 0,  11, 0
224223, 0,  12, 0
224254, 0,  19, 0
224286, 0,  17, 0
224319, 0,  12, 0
224351, 0,  17, 0
224384, 0,  16, 0
224415, 0,  15, 0
224447, 0,  15, 0
224480, 0,  16, 0
224512, 0,  15, 0
224543, 0,  16, 0
224576, 0,  19, 0
224608, 0,  17, 0
224641, 0,  16, 0
224672, 0,  18, 0
224704, 0,  16, 0
224737, 0,  12, 0
224769, 0,  15, 0
224800, 0,  12, 0
