millis(), steeringRef, steering sensor, acceleration
14019,	128,	259,	0
14051,	128,	206,	0
14081,	128,	238,	0
14113,	128,	254,	0
14144,	128,	194,	0
14174,	128,	255,	0
14206,	128,	163,	0
14236,	128,	259,	0
14268,	128,	168,	0
14299,	128,	254,	0
14330,	128,	210,	0
14360,	128,	245,	0
14392,	128,	189,	0
14422,	128,	234,	0
14454,	128,	260,	0
14484,	128,	184,	0
14515,	128,	261,	0
14547,	128,	167,	0
14577,	128,	258,	0
14609,	128,	172,	0
14639,	128,	248,	0
14671,	128,	196,	0
14701,	128,	246,	0
14733,	128,	232,	0
14763,	128,	209,	0
14795,	128,	261,	0
14825,	128,	168,	0
14856,	128,	260,	0
14887,	128,	167,	0
14918,	128,	251,	0
14950,	128,	187,	0
14980,	128,	245,	0
15011,	128,	232,	0
15042,	128,	215,	0
15074,	128,	258,	0
15105,	128,	171,	0
15137,	128,	258,	0
15167,	128,	173,	0
15199,	128,	254,	0
15229,	128,	183,	0
15261,	128,	236,	0
15291,	128,	207,	0
15323,	128,	221,	0
15353,	128,	262,	0
15384,	128,	172,	0
15415,	128,	260,	0
15446,	128,	168,	0
15478,	128,	258,	0
15509,	128,	185,	0
15540,	128,	250,	0
15570,	128,	196,	0
15601,	128,	235,	0
15633,	128,	225,	0
15663,	128,	194,	0
15695,	128,	263,	0
15725,	128,	168,	0
15757,	128,	261,	0
15788,	128,	173,	0
15819,	128,	245,	0
15850,	128,	196,	0
15882,	128,	236,	0
15913,	128,	263,	0
15944,	128,	178,	0
15974,	128,	263,	0
16005,	128,	171,	0
16037,	128,	259,	0
16067,	128,	173,	0
16098,	128,	255,	0
16129,	128,	182,	0
16161,	128,	232,	0
16192,	128,	258,	0
16222,	128,	210,	0
16253,	128,	263,	0
16284,	128,	172,	0
16316,	128,	264,	0
16346,	128,	169,	0
16378,	128,	251,	0
16408,	128,	178,	0
16440,	128,	258,	0
16471,	128,	194,	0
16501,	128,	213,	0
16532,	128,	259,	0
16563,	128,	182,	0
16595,	128,	261,	0
16625,	128,	168,	0
16657,	128,	259,	0
16687,	128,	172,	0
16719,	128,	244,	0
16749,	128,	195,	0
16780,	128,	239,	0
16812,	128,	205,	0
16842,	128,	186,	0
16874,	128,	254,	0
16904,	128,	170,	0
16936,	128,	260,	0
16967,	128,	176,	0
16999,	128,	246,	0
17030,	128,	196,	0
17061,	128,	223,	0
17091,	128,	259,	0
17123,	128,	188,	0
17153,	128,	258,	0
17185,	128,	165,	0
17215,	128,	260,	0
17246,	128,	166,	0
17277,	128,	248,	0
17308,	128,	218,	0
17340,	128,	235,	0
17370,	128,	192,	0
17402,	128,	191,	0
17433,	128,	256,	0
17464,	128,	169,	0
17494,	128,	258,	0
17525,	128,	166,	0
17556,	128,	257,	0
17587,	128,	172,	0
17619,	128,	238,	0
17649,	128,	196,	0
17681,	128,	223,	0
17712,	128,	260,	0
17743,	128,	175,	0
17773,	128,	261,	0
17804,	128,	169,	0
17836,	128,	264,	0
17867,	128,	174,	0
17898,	128,	243,	0
17928,	128,	183,	0
17959,	128,	244,	0
17991,	128,	236,	0
18022,	128,	199,	0
18052,	128,	262,	0
18084,	128,	172,	0
18115,	128,	264,	0
18146,	128,	175,	0
18176,	128,	260,	0
18207,	128,	185,	0
18239,	128,	242,	0
18270,	128,	194,	0
18301,	128,	207,	0
18331,	128,	262,	0
18362,	128,	185,	0
18393,	128,	262,	0
18425,	128,	171,	0
18455,	128,	259,	0
18486,	128,	173,	0
18518,	128,	249,	0
18548,	128,	191,	0
18580,	128,	238,	0
18610,	128,	216,	0
18642,	128,	181,	0
18672,	128,	262,	0
18704,	128,	168,	0
18734,	128,	264,	0
