millis, steerRef, sensorValue,  accel
2030,   128,    0,  -1
2032,   128,    1,  0
2033,   128,    2,  0
2048,   128,    -9, 0
2066,   128,    -12,    0
2085,   128,    -10,    0
2105,   128,    -9, 0
2123,   128,    -6, 0
2143,   128,    -4, 0
2161,   128,    3,  0
2180,   128,    12, 0
2198,   128,    15, 0
2216,   128,    15, 0
2235,   128,    15, 0
2254,   128,    17, 0
2273,   128,    17, 0
2291,   128,    17, 0
2311,   128,    17, 0
2328,   128,    13, 0
2348,   128,    11, 0
2366,   128,    8,  0
2383,   128,    6,  0
2402,   128,    12, 0
2420,   128,    20, 0
2439,   128,    25, 0
2457,   128,    28, 0
2477,   128,    29, 0
2495,   128,    29, 0
2513,   128,    30, 0
2533,   128,    30, 0
2551,   128,    30, 0
2570,   128,    30, 0
2589,   128,    30, 0
2608,   128,    25, 0
2626,   128,    22, 0
2644,   128,    18, 0
2664,   128,    18, 0
2682,   128,    21, 0
2701,   128,    26, 0
2720,   128,    31, 0
2739,   128,    38, 0
2757,   128,    40, 0
2776,   128,    41, 0
2795,   128,    42, 0
2813,   128,    42, 0
2832,   128,    43, 0
2851,   128,    42, 0
2870,   128,    42, 0
2888,   128,    41, 0
2907,   128,    37, 0
2926,   128,    35, 0
2945,   128,    30, 0
2963,   128,    30, 0
2982,   128,    31, 0
3001,   128,    37, 0
3019,   128,    42, 0
3038,   128,    49, 0
3056,   128,    52, 0
3076,   128,    52, 0
3094,   128,    52, 0
3113,   128,    53, 0
3132,   128,    53, 0
3150,   128,    52, 0
3169,   128,    52, 0
3187,   128,    48, 0
3207,   128,    47, 0
3225,   128,    42, 0
3245,   128,    40, 0
3263,   128,    39, 0
3281,   128,    41, 0
3300,   128,    44, 0
3318,   128,    52, 0
3338,   128,    57, 0
3356,   128,    60, 0
3376,   128,    61, 0
3393,   128,    61, 0
3412,   128,    60, 0
3431,   128,    61, 0
3449,   128,    61, 0
3469,   128,    60, 0
3487,   128,    58, 0
3507,   128,    55, 0
3524,   128,    50, 0
3544,   128,    47, 0
3562,   128,    47, 0
3580,   128,    49, 0
3600,   128,    51, 0
3618,   128,    59, 0
3637,   128,    65, 0
3656,   128,    67, 0
3675,   128,    69, 0
3693,   128,    68, 0
3712,   128,    68, 0
3731,   128,    69, 0
3749,   128,    68, 0
3768,   128,    68, 0
3787,   128,    66, 0
3806,   128,    61, 0
3825,   128,    60, 0
3843,   128,    54, 0
3862,   128,    54, 0
3880,   128,    55, 0
3899,   128,    60, 0
3918,   128,    64, 0
3937,   128,    71, 0
3955,   128,    73, 0
3975,   128,    75, 0
3992,   128,    74, 0
4012,   128,    73, 0
4030,   128,    72, 0
4049,   128,    73, 0
4068,   128,    72, 0
4086,   128,    70, 0
4106,   128,    68, 0
4123,   128,    64, 0
4143,   128,    63, 0
4161,   128,    62, 0
4179,   128,    63, 0
4199,   128,    66, 0
4217,   128,    71, 0
4236,   128,    73, 0
4254,   128,    76, 0
4274,   128,    77, 0
4292,   128,    77, 0
4311,   128,    77, 0
4330,   128,    76, 0
4348,   128,    76, 0
4367,   128,    76, 0
4386,   128,    76, 0
4405,   128,    72, 0
4423,   128,    70, 0
4442,   128,    66, 0
4461,   128,    65, 0
4480,   128,    66, 0
4499,   128,    69, 0
4516,   128,    74, 0
4536,   128,    79, 0
4554,   128,    80, 0
4573,   128,    80, 0
4592,   128,    81, 0
4611,   128,    81, 0
4629,   128,    80, 0
4648,   128,    80, 0
4667,   128,    79, 0
4685,   128,    79, 0
4704,   128,    75, 0
4723,   128,    74, 0
4742,   128,    70, 0
4760,   128,    69, 0
4780,   128,    69, 0
4798,   128,    73, 0
4816,   128,    76, 0
4835,   128,    81, 0
4853,   128,    84, 0
4873,   128,    83, 0
4891,   128,    83, 0
4911,   128,    84, 0
4929,   128,    83, 0
4947,   128,    83, 0
4966,   128,    82, 0
4984,   128,    81, 0
5004,   128,    78, 0
5022,   128,    75, 0
5042,   128,    73, 0
5060,   128,    71, 0
5079,   128,    72, 0
5097,   128,    75, 0
5115,   128,    79, 0
5135,   128,    83, 0
5153,   128,    86, 0
5173,   128,    86, 0
5190,   128,    86, 0
5210,   128,    86, 0
5228,   128,    86, 0
5246,   128,    86, 0
5266,   128,    85, 0
5284,   128,    84, 0
5304,   128,    80, 0
5321,   128,    77, 0
5341,   128,    75, 0
5359,   128,    74, 0
5378,   128,    75, 0
5397,   128,    76, 0
5415,   128,    81, 0
5434,   128,    86, 0
5453,   128,    88, 0
5472,   128,    89, 0
5490,   128,    88, 0
5509,   128,    89, 0
5528,   128,    89, 0
5547,   128,    89, 0
5565,   128,    89, 0
5584,   128,    88, 0
5603,   128,    82, 0
5622,   128,    80, 0
5640,   128,    74, 0
5659,   128,    72, 0
5678,   128,    73, 0
5696,   128,    77, 0
5715,   128,    81, 0
5734,   128,    88, 0
5752,   128,    91, 0
5771,   128,    93, 0
5789,   128,    92, 0
5809,   128,    92, 0
5827,   128,    91, 0
5847,   128,    91, 0
5865,   128,    90, 0
5883,   128,    90, 0
5902,   128,    84, 0
5920,   128,    80, 0
5940,   128,    77, 0
5958,   128,    74, 0
5978,   128,    75, 0
5996,   128,    79, 0
6014,   128,    84, 0
6033,   128,    88, 0
6051,   128,    92, 0
6071,   128,    94, 0
6089,   128,    93, 0
6109,   128,    93, 0
6127,   128,    92, 0
6146,   128,    92, 0
6164,   128,    91, 0
6183,   128,    91, 0
6202,   128,    86, 0
6220,   128,    82, 0
6239,   128,    77, 0
6258,   128,    75, 0
6277,   128,    76, 0
6296,   128,    78, 0
6313,   128,    85, 0
6333,   128,    89, 0
6351,   128,    93, 0
6370,   128,    94, 0
6389,   128,    93, 0
6408,   128,    93, 0
6426,   128,    92, 0
