millis(), steeringRef, steering sensor, acceleration
2450977,    128,    128,    0
2451008,    128,    127,    0
2451039,    128,    132,    0
2451072,    128,    128,    0
2451103,    128,    129,    0
2451133,    128,    134,    0
2451164,    128,    128,    0
2451196,    128,    128,    0
2451227,    128,    128,    0
2451258,    128,    128,    0
2451289,    128,    125,    0
2451319,    128,    135,    0
2451350,    128,    134,    0
2451382,    128,    128,    0
2451414,    128,    128,    0
2451444,    128,    135,    0
2451475,    128,    128,    0
2451506,    128,    129,    0
2451538,    128,    128,    0
2451569,    128,    134,    0
2451599,    128,    124,    0
2451631,    128,    127,    0
2451661,    128,    126,    0
2451692,    128,    132,    0
2451723,    128,    127,    0
2451755,    128,    130,    0
2451786,    128,    128,    0
2451817,    128,    129,    0
2451847,    128,    132,    0
2451878,    128,    128,    0
2451910,    128,    128,    0
2451941,    128,    134,    0
2451971,    171,    135,    0
2452002,    171,    135,    0
2452034,    171,    133,    0
2452064,    255,    135,    0
2452096,    255,    128,    0
2452126,    255,    129,    0
2452158,    255,    126,    0
2452189,    255,    124,    0
2452219,    255,    136,    0
2452251,    255,    149,    0
2452281,    255,    170,    0
2452312,    255,    191,    0
2452343,    255,    206,    0
2452374,    255,    238,    0
2452406,    255,    244,    0
2452438,    255,    256,    0
2452468,    255,    258,    0
2452500,    255,    252,    0
2452530,    255,    258,    0
2452562,    255,    255,    0
2452592,    255,    255,    0
2452624,    255,    251,    0
2452654,    255,    256,    0
2452686,    255,    251,    0
2452716,    255,    252,    0
2452747,    255,    255,    0
2452777,    255,    258,    0
2452809,    255,    252,    0
2452841,    255,    256,    0
2452872,    255,    256,    0
2452903,    255,    255,    0
2452933,    255,    251,    0
2452965,    255,    258,    0
2452995,    255,    255,    0
2453027,    255,    256,    0
2453057,    128,    256,    0
2453089,    128,    256,    0
2453120,    128,    255,    0
2453150,    128,    251,    0
2453182,    128,    251,    0
2453213,    128,    255,    0
2453243,    128,    255,    0
2453274,    128,    258,    0
2453305,    128,    256,    0
2453336,    128,    227,    0
2453368,    128,    223,    0
2453399,    128,    209,    0
2453429,    128,    191,    0
2453462,    128,    179,    0
2453493,    128,    166,    0
2453524,    128,    147,    0
2453554,    128,    132,    0
2453585,    128,    127,    0
2453616,    128,    121,    0
2453648,    128,    116,    0
2453679,    128,    113,    0
2453709,    128,    122,    0
2453740,    128,    117,    0
2453771,    128,    121,    0
2453803,    128,    117,    0
2453834,    128,    111,    0
2453864,    128,    113,    0
2453895,    128,    115,    0
2453927,    128,    119,    0
2453957,    128,    122,    0
2453988,    128,    121,    0
2454020,    128,    121,    0
2454050,    128,    115,    0
2454081,    128,    122,    0
2454112,    128,    122,    0
2454144,    128,    117,    0
2454174,    128,    122,    0
2454205,    0,  121,    0
2454236,    0,  117,    0
2454268,    0,  117,    0
2454299,    0,  115,    0
2454330,    0,  119,    0
2454360,    0,  116,    0
2454391,    0,  100,    0
2454422,    0,  90, 0
2454454,    0,  68, 0
2454484,    0,  43, 0
2454517,    0,  22, 0
2454547,    0,  3,  0
2454579,    0,  -8, 0
2454610,    0,  -15,    0
2454641,    0,  -12,    0
2454672,    0,  -20,    0
2454702,    0,  -15,    0
2454733,    0,  -14,    0
2454764,    0,  -15,    0
2454796,    0,  -20,    0
2454827,    0,  -12,    0
2454858,    0,  -20,    0
2454888,    0,  -14,    0
2454919,    0,  -14,    0
2454950,    0,  -20,    0
2454982,    0,  -20,    0
2455013,    0,  -15,    0
2455044,    0,  -13,    0
2455074,    0,  -17,    0
2455105,    0,  -20,    0
2455137,    0,  -12,    0
2455168,    0,  -20,    0
2455199,    0,  -11,    0
2455229,    0,  -15,    0
2455260,    0,  -13,    0
2455292,    128,    -14,    0
2455322,    128,    -13,    0
2455353,    128,    -12,    0
2455384,    128,    -13,    0
2455416,    128,    -13,    0
2455446,    128,    -11,    0
2455477,    128,    -7, 0
2455510,    128,    1,  0
2455540,    128,    25, 0
2455571,    128,    52, 0
2455602,    128,    71, 0
2455634,    128,    97, 0
2455665,    128,    115,    0
2455695,    128,    126,    0
2455727,    128,    151,    0
2455757,    128,    150,    0
2455788,    128,    153,    0
2455820,    128,    164,    0
2455851,    128,    149,    0
2455882,    128,    160,    0
2455914,    128,    150,    0
2455944,    128,    155,    0
2455976,    128,    160,    0
2456007,    128,    153,    0
2456037,    128,    149,    0
2456068,    128,    157,    0
2456099,    128,    153,    0
2456130,    128,    160,    0
2456161,    128,    153,    0
2456192,    128,    160,    0
2456224,    128,    153,    0
2456255,    128,    153,    0
2456285,    128,    150,    0
2456316,    128,    153,    0
2456348,    128,    153,    0
2456379,    128,    160,    0
2456410,    128,    155,    0
2456440,    255,    153,    0
2456471,    255,    158,    0
2456503,    255,    160,    0
2456534,    255,    158,    0
2456564,    255,    151,    0
2456596,    255,    160,    0
2456626,    255,    153,    0
2456658,    255,    151,    0
