millis	acc_0	acc_1	acc_2	gyr_0	gyr_1	gyr_2	mag_0	mag_1	mag_2	Longitude	Latitude	velN	velE	Throttle	Steering
4193	5	-22	-316	7	1	131	1884	701	-12318	nan	nan	nan	nan	564	322
4230	5	-22	-315	6	1	131	1919	645	-12381	nan	nan	nan	nan	342	384
4267	5	-22	-313	7	1	131	1919	601	-12368	nan	nan	nan	nan	243	323
4304	5	-22	-312	7	1	131	1976	623	-12330	nan	nan	nan	nan	197	283
4341	5	-23	-313	6	1	131	1964	713	-12406	nan	nan	nan	nan	186	274
4378	5	-22	-314	7	1	132	1942	735	-12406	nan	nan	nan	nan	191	281
4416	5	-23	-314	6	1	131	1964	645	-12368	nan	nan	nan	nan	187	276
4456	4	-23	-314	6	1	131	1930	657	-12330	nan	nan	nan	nan	181	270
4493	6	-22	-314	7	1	131	1930	701	-12343	nan	nan	nan	nan	170	254
4530	5	-22	-314	6	1	131	1953	579	-12381	nan	nan	nan	nan	164	239
4567	6	-23	-314	6	2	131	1907	679	-12381	nan	nan	nan	nan	150	220
4604	5	-22	-314	7	1	131	1895	612	-12330	nan	nan	nan	nan	152	221
4641	4	-22	-313	6	1	131	1942	645	-12419	nan	nan	nan	nan	152	227
4678	5	-22	-314	7	1	131	1976	634	-12381	nan	nan	nan	nan	163	242
4715	6	-21	-313	6	1	131	1919	657	-12343	nan	nan	nan	nan	166	244
4755	5	-22	-315	8	1	131	1942	612	-12394	nan	nan	nan	nan	161	241
4792	4	-23	-313	6	1	131	1964	623	-12368	nan	nan	nan	nan	151	225
4829	5	-22	-315	7	1	131	1895	713	-12368	nan	nan	nan	nan	137	204
4866	5	-21	-315	7	1	131	1976	645	-12394	nan	nan	nan	nan	127	191
4903	5	-22	-314	6	1	131	1953	679	-12343	nan	nan	nan	nan	133	200
4940	5	-22	-315	6	1	131	1838	590	-12368	nan	nan	nan	nan	147	219
4977	5	-21	-315	6	1	131	1907	690	-12356	nan	nan	nan	nan	151	227
5017	5	-22	-314	7	0	131	1953	668	-12368	nan	nan	nan	nan	148	225
5054	5	-22	-313	6	1	131	1976	657	-12356	nan	nan	nan	nan	146	220
5091	5	-21	-314	6	1	131	1988	679	-12419	nan	nan	nan	nan	129	198
5128	6	-23	-315	5	1	131	1964	645	-12381	nan	nan	nan	nan	129	190
5165	5	-22	-313	6	1	132	1953	557	-12406	nan	nan	nan	nan	130	192
5202	5	-22	-314	7	1	131	1884	579	-12394	nan	nan	nan	nan	138	205
5239	5	-22	-312	6	1	131	1930	568	-12406	nan	nan	nan	nan	150	223
5276	5	-23	-314	7	1	131	1919	612	-12356	nan	nan	nan	nan	152	226
5316	6	-21	-313	6	1	131	1884	634	-12394	nan	nan	nan	nan	148	223
5354	4	-22	-314	7	1	131	1953	634	-12356	nan	nan	nan	nan	143	214
