millis(), steeringRef, steering sensor, acceleration
787,	-1,	137,	-1
818,	-1,	137,	-1
849,	-1,	126,	0
879,	138,	134,	0
911,	138,	129,	0
942,	138,	135,	0
972,	136,	121,	0
1003,	136,	120,	0
1034,	136,	131,	0
1065,	136,	123,	0
1097,	136,	125,	0
1128,	136,	136,	0
1159,	136,	123,	0
1190,	136,	136,	0
1221,	136,	141,	0
1252,	138,	134,	0
1283,	138,	126,	0
1315,	138,	129,	0
1346,	136,	132,	0
1376,	136,	130,	0
1408,	136,	141,	0
1438,	138,	133,	0
1469,	138,	128,	0
1500,	138,	97,	0
1532,	138,	138,	0
1563,	138,	136,	0
1594,	138,	125,	0
1625,	138,	129,	0
1656,	138,	127,	0
1687,	138,	133,	0
1718,	138,	117,	0
1750,	138,	143,	0
1780,	138,	114,	0
1811,	138,	126,	0
1843,	138,	136,	0
1874,	138,	111,	0
1905,	138,	130,	0
1936,	138,	125,	0
1966,	138,	117,	0
1998,	138,	130,	0
2028,	138,	132,	0
2060,	138,	126,	0
2089,	138,	131,	0
2121,	138,	133,	0
2152,	135,	138,	0
2183,	135,	108,	0
2214,	135,	126,	0
2246,	135,	125,	0
2277,	135,	136,	0
2307,	135,	126,	0
2338,	135,	125,	0
2369,	135,	128,	0
2401,	135,	130,	0
2432,	135,	126,	0
2463,	135,	137,	0
2493,	142,	131,	0
2525,	142,	127,	0
2556,	142,	137,	0
2586,	142,	135,	0
2617,	142,	125,	0
2648,	142,	127,	0
2679,	142,	130,	0
2711,	142,	127,	0
2742,	142,	131,	0
2772,	142,	129,	0
2805,	142,	139,	0
2835,	142,	128,	0
2867,	140,	79,	0
2897,	140,	121,	0
2929,	140,	135,	0
2959,	140,	140,	0
2990,	140,	136,	0
3021,	140,	129,	0
3052,	165,	136,	0
3083,	165,	129,	0
3113,	165,	137,	0
3145,	212,	128,	0
3176,	212,	120,	0
3208,	212,	138,	0
3239,	231,	136,	0
3270,	231,	135,	0
3301,	231,	130,	0
3331,	231,	108,	0
3363,	231,	157,	0
3394,	231,	157,	0
3425,	231,	-169,	0
3454,	217,	180,	0
3487,	217,	184,	0
3517,	217,	200,	0
3548,	148,	212,	0
3579,	148,	204,	0
3611,	148,	205,	0
3642,	128,	-166,	0
3673,	128,	-169,	0
3703,	128,	189,	0
3735,	6,	202,	0
3765,	6,	207,	0
3798,	6,	205,	0
3828,	0,	209,	0
3859,	0,	188,	0
3891,	0,	169,	0
3922,	0,	136,	0
3953,	0,	115,	0
3984,	0,	83,	0
4015,	0,	79,	0
4046,	0,	66,	0
4077,	0,	50,	0
4108,	0,	54,	0
4137,	0,	51,	0
4170,	30,	41,	0
4200,	30,	45,	0
4232,	30,	42,	0
4263,	65,	45,	0
4293,	65,	48,	0
4324,	65,	40,	0
4355,	128,	50,	0
4387,	128,	40,	0
