millis(), steeringRef, steering sensor, acceleration
44,	-1,	4,	0
75,	-1,	-58,	0
106,	128,	38,	0
137,	128,	-63,	0
168,	128,	49,	0
199,	128,	-43,	0
230,	128,	42,	0
260,	128,	-25,	0
291,	128,	45,	0
323,	128,	70,	0
354,	128,	4,	0
385,	128,	80,	0
415,	128,	-22,	0
446,	128,	90,	0
478,	128,	-14,	0
508,	128,	88,	0
540,	128,	12,	0
571,	128,	74,	0
602,	128,	50,	0
633,	128,	45,	0
664,	128,	115,	0
695,	128,	23,	0
726,	128,	125,	0
756,	128,	19,	0
788,	128,	129,	0
819,	128,	35,	0
850,	128,	106,	0
880,	128,	66,	0
912,	128,	101,	0
943,	128,	142,	0
974,	128,	55,	0
1004,	128,	153,	0
1036,	128,	49,	0
1065,	128,	160,	0
1097,	128,	63,	0
1129,	128,	151,	0
1159,	128,	93,	0
1191,	128,	155,	0
1221,	128,	171,	0
1252,	128,	121,	0
1283,	128,	180,	0
1314,	128,	78,	0
1345,	128,	186,	0
1376,	128,	81,	0
1408,	128,	194,	0
1438,	128,	109,	0
1469,	128,	192,	0
1500,	128,	122,	0
1531,	128,	153,	0
1563,	128,	201,	0
1593,	128,	118,	0
1624,	128,	205,	0
1656,	128,	102,	0
1687,	128,	209,	0
1718,	128,	136,	0
1750,	128,	195,	0
1780,	128,	168,	0
1811,	128,	181,	0
1843,	128,	189,	0
1873,	128,	121,	0
1904,	128,	224,	0
1936,	128,	120,	0
1967,	128,	230,	0
1997,	128,	133,	0
2028,	128,	219,	0
2059,	128,	181,	0
2091,	128,	197,	0
2121,	128,	235,	0
2152,	128,	162,	0
2184,	128,	237,	0
2214,	128,	130,	0
2246,	128,	241,	0
2277,	128,	141,	0
2307,	128,	236,	0
2339,	128,	159,	0
2370,	128,	209,	0
2400,	128,	178,	0
2432,	128,	191,	0
2463,	128,	245,	0
2493,	128,	149,	0
2524,	128,	246,	0
2556,	128,	143,	0
2586,	128,	245,	0
2617,	128,	154,	0
2648,	128,	232,	0
2679,	128,	200,	0
2710,	128,	207,	0
2742,	128,	250,	0
2772,	128,	156,	0
2805,	128,	254,	0
2836,	128,	147,	0
2866,	128,	249,	0
2898,	128,	165,	0
2928,	128,	240,	0
2959,	128,	178,	0
2990,	128,	230,	0
3021,	128,	238,	0
3052,	128,	160,	0
3083,	128,	257,	0
3113,	128,	149,	0
3146,	128,	255,	0
3176,	128,	156,	0
3208,	128,	244,	0
3238,	128,	180,	0
3269,	128,	219,	0
3301,	128,	223,	0
3332,	128,	184,	0
3362,	128,	257,	0
3394,	128,	150,	0
3425,	128,	261,	0
3454,	128,	152,	0
3487,	128,	247,	0
3518,	128,	174,	0
3549,	128,	230,	0
3580,	128,	250,	0
3611,	128,	195,	0
3641,	128,	259,	0
3673,	128,	164,	0
3704,	128,	262,	0
3734,	128,	153,	0
3766,	128,	259,	0
3798,	128,	173,	0
3828,	128,	229,	0
3860,	128,	198,	0
3891,	128,	201,	0
3922,	128,	258,	0
3953,	128,	157,	0
3984,	128,	262,	0
4014,	128,	153,	0
4045,	128,	255,	0
4077,	128,	173,	0
4107,	128,	256,	0
4139,	128,	188,	0
4170,	128,	213,	0
4200,	128,	261,	0
4232,	128,	178,	0
6321,	128,	189,	0
6353,	128,	98,	0
6384,	128,	194,	0
6414,	128,	109,	0
6445,	128,	193,	0
6477,	128,	163,	0
6507,	128,	183,	0
6539,	128,	213,	0
6571,	128,	119,	0
6601,	128,	219,	0
6632,	128,	115,	0
6664,	128,	221,	0
6694,	128,	137,	0
6725,	128,	210,	0
6756,	128,	179,	0
6787,	128,	193,	0
6819,	128,	228,	0
6849,	128,	141,	0
6881,	128,	236,	0
6910,	128,	129,	0
6943,	128,	235,	0
6974,	128,	141,	0
7004,	128,	226,	0
7035,	128,	161,	0
7067,	128,	216,	0
7098,	128,	239,	0
7129,	128,	175,	0
7159,	128,	245,	0
7191,	128,	142,	0
7222,	128,	248,	0
7252,	128,	147,	0
7285,	128,	227,	0
7316,	128,	176,	0
7346,	128,	236,	0
7378,	128,	251,	0
7409,	128,	167,	0
7439,	128,	254,	0
7470,	128,	150,	0
7502,	128,	255,	0
7532,	128,	151,	0
7563,	128,	248,	0
7595,	128,	178,	0
7625,	128,	248,	0
7657,	128,	230,	0
7688,	128,	200,	0
